Simulated,Estimated,lme,bicint,xp,pseudoR2,choiceProbMedianR2,wins,best
8,4,-6822.32627481676+-0.15707963267949i,13549.061537802,0,-88.8715021033533,0.553637550223585,0,0
8,5,-6412.69983722951+0i,12774.6161940093,0,-83.3600923064699,0.60817042655222,0,0
8,6,-6780.92688519748+-0.15707963267949i,13461.6232900813,0,-90.2725914425629,0.575219972323838,0,0
8,7,-5604.08432848878+0i,11232.658544411,0,-70.9041385079787,0.881088155315013,0,0
8,8,-5052.47141512974+0i,10118.8395864038,1,-63.0608557466019,0.940375684956562,1,10
8,9,-5722.86587860913+0i,11452.3280699008,0,-74.4349947888952,0.679568936218887,0,0
8,10,-5655.59082019966+0i,11362.5986514189,0,-70.1233660328441,0.880398062179343,0,0
8,11,-5135.22291185284+0i,10303.1740046429,0,-62.7572482403002,0.93844307521477,0,0
8,12,-5769.15025397071+0i,11559.2779231734,0,-74.0794141870946,0.676272792959001,0,0
9,1,-9033.72534435726+0i,18073.8538585751,0,-125.048714120471,0.34795061398109,0,0
9,2,-8942.82205532311+0i,17889.1947231419,0,-123.742654281013,0.359439783421966,0,0
9,3,-8887.73184035389+0i,17779.020297373,0,-123.091752372818,0.357852611100024,0,0
9,4,-8724.29530898321+0i,17451.5390616813,0,-118.12531213126,0.337613185114672,0,0
9,5,-8636.08595341591+0i,17276.7184787919,0,-116.862643118013,0.345502729354112,0,0
9,6,-8576.28027361635+0i,17146.3929514645,0,-116.4129793789,0.34634008439466,0,0
9,7,-8651.4908981+0i,17310.0336881131,0,-117.00867421505,0.407707904274182,0,0
9,8,-8434.75213749506+0i,16872.1099299871,0,-113.865982349233,0.43277893656904,0,0
9,9,-8260.97545269737+0i,16517.6528616117,1,-111.681606427553,0.433306251093635,1,10
9,10,-8544.03605081366+0i,17109.345682476,0,-113.708006510119,0.403222393293795,0,0
9,11,-8405.51875834751+0i,16822.9808733325,0,-111.911118211556,0.424187108661275,0,0
9,12,-8316.2051744855+0i,16633.2838145053,0,-111.561956864324,0.42614256498021,0,0
10,1,-4532.263393703+0i,9073.19150373545,0,-59.0735972081159,0.97018701289022,0,0
10,2,-5156.71141734774+0i,10317.9571961163,0,-69.3623639557792,0.909894354889818,0,0
10,3,-5855.08224327837+0i,11719.1606504178,0,-80.7570979692551,0.715589541738442,0,0
10,4,-3707.85231146879+0i,7389.67044600033,0,-44.6795769968181,0.990071888772803,0,0
10,5,-4679.47470852454+0i,9335.60168552367,0,-60.3270033116651,0.922253177625443,0,0
10,6,-5507.89878808499+0i,11068.4129473584,0,-75.3456848585038,0.716468778537039,0,0
10,7,-2921.74689288871+0i,5871.03807378813,0,-32.5561891106829,0.99952475210809,0,0
10,8,-4185.19821617413+0i,8398.82763855056,0,-53.7473183142415,0.945278516476134,0,0
10,9,-5087.51866183826+0i,10203.6497491925,0,-68.5779110422055,0.718919965918263,0,0
10,10,-2798.18483394092+0i,5656.1518136315,1,-29.705350316829,0.999716847605312,1,10
10,11,-4097.28749631502+0i,8236.25228868673,0,-51.3107680572325,0.949274188632171,0,0
10,12,-5032.88816660879+0i,10114.9441863102,0,-67.3186823753357,0.717794451212748,0,0
11,1,-7314.24749730841+0i,14639.8250724229,0,-99.2995004830472,0.553039106747384,0,0
11,2,-6983.57696515262+0i,13977.1116709443,0,-94.3561691761655,0.584159712800933,0,0
11,3,-7149.86655211094+0i,14304.2219599025,0,-97.3469287548312,0.570214641446198,0,0
11,4,-6567.59809789209+-0.15707963267949i,13042.1697139166,0,-84.8692590202349,0.537132535112525,0,0
11,5,-6105.37266529304+-0.15707963267949i,12169.8695975915,0,-78.6502590110528,0.59387099097285,0,0
11,6,-6556.93158595784+0i,13041.9494762807,0,-86.9024228799855,0.545789334394726,0,0
11,7,-5755.78675449717+0i,11537.7689688987,0,-73.2584170503481,0.819509206232627,0,0
11,8,-5284.48925659982+0i,10585.9521027608,0,-66.4569071930133,0.869415464681661,0,0
11,9,-5763.46288604881+0i,11537.991023719,0,-75.0313102871344,0.673355272847033,0,0
11,10,-5529.53042740737+0i,11109.1789873957,0,-68.29830361098,0.837025400383657,0,0
11,11,-5000.27733464223+0i,10029.2283818784,1,-60.8582314031583,0.888717636144046,1,10
11,12,-5642.12729460194+0i,11305.6622133144,0,-72.407035987315,0.669477947684499,0,0
12,1,-9157.30262317948+0i,18321.221407301,0,-127.120550439147,0.34892757052765,0,0
12,2,-9077.55024207118+0i,18163.1518425939,0,-126.063047474116,0.361700571457123,0,0
12,3,-9036.86912198308+0i,18078.8587689351,0,-125.537494738346,0.356362714975129,0,0
12,4,-8701.65215185026+0i,17408.8994234434,0,-117.550685378147,0.333920023765973,0,0
12,5,-8614.11787904943+0i,17231.8693858406,0,-116.324424809388,0.347117636031775,0,0
12,6,-8543.26934984814+0i,17080.7768817839,1.85e-05,-115.756792442043,0.344483609391056,0,0
12,7,-8808.62076897708+0i,17620.6942612141,0,-119.47565697467,0.390787819018373,0,0
12,8,-8621.50833729622+0i,17243.6349412383,0,-116.802396631166,0.414423884536115,0,0
12,9,-8415.18871669282+0i,16832.1385661178,6.1e-06,-114.170806226537,0.414794216018072,0,0
12,10,-8556.65231198363+0i,17128.6515796017,0,-113.925524046965,0.380336625434444,0,0
12,11,-8432.17964413013+0i,16876.9801514273,0,-112.335825163466,0.401978271091826,0,0
12,12,-8338.29113683525+0i,16677.3743038741,0.9999754,-111.911511267649,0.402077673827896,1,10
